"Player","Team","Position","Value","Position Rank",
"Austin Ekeler","WAS","RB","$2","RB38",
"Jerry Jeudy","CLE","WR","$2","WR58",
"Mike Williams","NYJ","WR","$2","WR59",
"Brandin Cooks","DAL","WR","$2","WR60",
"Rico Dowdle","DAL","RB","$2","RB40",
"Ezekiel Elliott","DAL","RB","$2","RB41",
"Zach Charbonnet","SEA","RB","$2","RB42",
"Dontayvion Wicks","GB","WR","$2","WR61","We are expecting Wicks to be drafted multiple rounds after this ranking. Be early."
"Josh Downs","IND","WR","$2","WR66",
"Marshawn Lloyd","GB","RB","$2","RB59",
"Jahan Dotson","PHI","WR","$2","WR76",
"Curtis Samuel","BUF","WR","$1","WR54",
"Tua Tagovailoa","MIA","QB","$1","QB16",
"Jakobi Meyers","LV","WR","$1","WR55",
"Dallas Goedert","PHI","TE","$1","TE12",
"Tyler Lockett","SEA","WR","$1","WR57",
"Trey Benson","ARI","RB","$1","RB39",
"Taysom Hill","NO","TE","$1","TE13",
"Jared Goff","DET","QB","$1","QB17",
"Chuba Hubbard","CAR","RB","$1","RB43",
"Justin Herbert","LAC","QB","$1","QB18",
"Darnell Mooney","ATL","WR","$1","WR62",
"Ty Chandler","MIN","RB","$1","RB45",
"Nick Chubb","CLE","RB","$1","RB46","Odds are Chubb won't be on the board in this range. Drafting him any higher than this suggests a full bill of health, which we're very skeptical of."
"Tyler Allgeier","ATL","RB","$1","RB47",
"Jaleel McLaughlin","DEN","RB","$1","RB48",
"Samaje Perine","KC","RB","$1","RB49",
"Antonio Gibson","NE","RB","$1","RB50",
"Dallas Cowboys","DAL","DST","$1","DST1",
"Dalton Schultz","HOU","TE","$1","TE14",
"New York Jets","NYJ","DST","$1","DST2",
"Bucky Irving","TB","RB","$1","RB51",
"Ray Davis","BUF","RB","$1","RB52",
"Ja'Lynn Polk","NE","WR","$1","WR63",
"Brandon Aubrey","DAL","K","$1","K1",
"Adam Thielen","CAR","WR","$1","WR64",
"San Francisco 49ers","SF","DST","$1","DST3",
"Cleveland Browns","CLE","DST","$1","DST4",
"Justin Tucker","BAL","K","$1","K2",
"Harrison Butker","KC","K","$1","K3",
"Pat Freiermuth","PIT","TE","$1","TE15",
"Younghoe Koo","ATL","K","$1","K4",
"Pittsburgh Steelers","PIT","DST","$1","DST5",
"Jaylen Wright","MIA","RB","$1","RB53",
"Jake Moody","SF","K","$1","K5",
"Khalil Herbert","CHI","RB","$1","RB54",
"Cole Kmet","CHI","TE","$1","TE16",
"Adonai Mitchell","IND","WR","$1","WR65",
"Houston Texans","HOU","DST","$1","DST6",
"Ka'imi Fairbairn","HOU","K","$1","K6",
"Jake Elliott","PHI","K","$1","K7",
"Las Vegas Raiders","LV","DST","$1","DST7",
"Matt Gay","IND","K","$1","K8",
"Dustin Hopkins","CLE","K","$1","K9",
"Jason Sanders","MIA","K","$1","K10",
"Michael Wilson","ARI","WR","$1","WR67",
"Baltimore Ravens","BAL","DST","$1","DST8",
"Chicago Bears","CHI","DST","$1","DST9",
"Kansas City Chiefs","KC","DST","$1","DST10",
"Tyler Bass","BUF","K","$1","K11",
"Evan McPherson","CIN","K","$1","K12",
"Kimani Vidal","LAC","RB","$1","RB55",
"J.K. Dobbins","LAC","RB","$1","RB56",
"T.J. Hockenson","MIN","TE","$1","TE17",
"Cincinnati Bengals","CIN","DST","$1","DST11",
"Miami Dolphins","MIA","DST","$1","DST12",
"New York Giants","NYG","DST","$1","DST13",
"Buffalo Bills","BUF","DST","$1","DST14",
"Wan'Dale Robinson","NYG","WR","$1","WR68",
"Luke Musgrave","GB","TE","$1","TE18",
"Demario Douglas","NE","WR","$1","WR69",
"Noah Fant","SEA","TE","$1","TE19",
"Rashod Bateman","BAL","WR","$1","WR70",
"Greg Dortch","ARI","WR","$1","WR71",
"Jalen Tolbert","DAL","WR","$1","WR72",
"Juwan Johnson","NO","TE","$1","TE20",
"Xavier Legette","CAR","WR","$1","WR73",
"Hunter Henry","NE","TE","$1","TE21",
"Demarcus Robinson","LAR","WR","$1","WR74",
"Jalen McMillan","TB","WR","$1","WR75",
"Tyler Conklin","NYJ","TE","$1","TE22",
"Isaiah Likely","BAL","TE","$1","TE23",
"Cade Otton","TB","TE","$1","TE24",
"Ben Sinnott","WAS","TE","$1","TE25",
"Colby Parkinson","LAR","TE","$1","TE26",
"Jordan Mason","SF","RB","$0","RB44",
"Deshaun Watson","CLE","QB","$0","QB19",
"Aaron Rodgers","NYJ","QB","$0","QB20",
"Baker Mayfield","TB","QB","$0","QB21",
"Matthew Stafford","LAR","QB","$0","QB22",
"Geno Smith","SEA","QB","$0","QB23",
"Sam Darnold","MIN","QB","$0","QB24",
"Joshua Karty","LAR","K","$0","K13",
"Matt Prater","ARI","K","$0","K14",
"Cairo Santos","CHI","K","$0","K15",
"Anders Carlson","GB","K","$0","K16",
"Cameron Dicker","LAC","K","$0","K17",
"Cam Little","JAX","K","$0","K18",
"Will Reichard","MIN","K","$0","K19",
"Indianapolis Colts","IND","DST","$0","DST15",
"Jason Myers","SEA","K","$0","K20",
"Braelon Allen","NYJ","RB","$0","RB57",
"Daniel Carlson","LV","K","$0","K21",
"Chase McLaughlin","TB","K","$0","K22",
"Blake Grupe","NO","K","$0","K23",
"New Orleans Saints","NO","DST","$0","DST16",
"Green Bay Packers","GB","DST","$0","DST17",
"Greg Zuerlein","NYJ","K","$0","K24",
"Tank Bigsby","JAX","RB","$0","RB58",
"Los Angeles Chargers","LAC","DST","$0","DST18",
"Chris Boswell","PIT","K","$0","K25",
"Derek Carr","NO","QB","$0","QB25",
"Seattle Seahawks","SEA","DST","$0","DST19",
"Philadelphia Eagles","PHI","DST","$0","DST20",
"Cade York","WAS","K","$0","K26",
"Eddy Pineiro","CAR","K","$0","K27",
"Nick Folk","TEN","K","$0","K28",
"Joey Slye","NE","K","$0","K29",
"Tampa Bay Buccaneers","TB","DST","$0","DST21",
"Wil Lutz","DEN","K","$0","K30",
"New England Patriots","NE","DST","$0","DST22",
"Graham Gano","NYG","K","$0","K31",
"Detroit Lions","DET","DST","$0","DST23",
"Jacksonville Jaguars","JAX","DST","$0","DST24",
"Minnesota Vikings","MIN","DST","$0","DST25",
"Atlanta Falcons","ATL","DST","$0","DST26",
"Denver Broncos","DEN","DST","$0","DST27",
"Will Levis","TEN","QB","$0","QB26",
"Jermaine Burton","CIN","WR","$0","WR77",
"Josh Reynolds","DEN","WR","$0","WR78",
"Tennessee Titans","TEN","DST","$0","DST28",
"Jalin Hyatt","NYG","WR","$0","WR79",
"Malachi Corley","NYJ","WR","$0","WR80",
"Trey Sermon","IND","RB","$0","RB60",
"Washington Commanders","WAS","DST","$0","DST29",
"Noah Brown","WAS","WR","$0","WR81",
"Audric Estime","DEN","RB","$0","RB61",
"Drake Maye","NE","QB","$0","QB27",
"Darius Slayton","NYG","WR","$0","WR82",
"Roschon Johnson","CHI","RB","$0","RB62",
"Andrei Iosivas","CIN","WR","$0","WR83",
"Justin Fields","PIT","QB","$0","QB28",
"Los Angeles Rams","LAR","DST","$0","DST30",
"Tyrone Tracy","NYG","RB","$0","RB63",
"Chigoziem Okonkwo","TEN","TE","$0","TE27",
"Arizona Cardinals","ARI","DST","$0","DST31",
"Tyler Boyd","TEN","WR","$0","WR84",
"Jonnu Smith","MIA","TE","$0","TE28",
"Carolina Panthers","CAR","DST","$0","DST32",
"D.J. Chark","LAC","WR","$0","WR85",
"Jalen Nailor","MIN","WR","$0","WR86",
"Luke McCaffrey","WAS","WR","$0","WR87",
"Will Shipley","PHI","RB","$0","RB64",
"Roman Wilson","PIT","WR","$0","WR88",
"Michael Mayer","LV","TE","$0","TE29",
"Dawson Knox","BUF","TE","$0","TE30",
"Jamaal Williams","NO","RB","$0","RB65",
"Theo Johnson","NYG","TE","$0","TE31",
"Kalif Raymond","DET","WR","$0","WR89",
"Dameon Pierce","HOU","RB","$0","RB66",
"Quentin Johnston","LAC","WR","$0","WR90",
"Ray-Ray McCloud","ATL","WR","$0","WR91",
"Malik Washington","MIA","WR","$0","WR92",
"Allen Lazard","NYJ","WR","$0","WR93",
"Tre Tucker","LV","WR","$0","WR94",
"Cedrick Wilson","NO","WR","$0","WR95",
"Keaton Mitchell","BAL","RB","$0","RB67",
"D'Onta Foreman","CLE","RB","$0","RB68",
"Elijah Moore","CLE","WR","$0","WR96",
"Dylan Laube","LV","RB","$0","RB69",
"Kenneth Gainwell","PHI","RB","$0","RB70",
"Mike Gesicki","CIN","TE","$0","TE32",
"Treylon Burks","TEN","WR","$0","WR97",
"Jauan Jennings","SF","WR","$0","WR98",
"Greg Dulcich","DEN","TE","$0","TE33",
"Devontez Walker","BAL","WR","$0","WR99",
"Tucker Kraft","GB","TE","$0","TE34",
"Bryce Young","CAR","QB","$0","QB29",
"Kendre Miller","NO","RB","$0","RB71",
"Justice Hill","BAL","RB","$0","RB72",
"Alexander Mattison","LV","RB","$0","RB73",
"A.T. Perry","NO","WR","$0","WR100",
"Jonathan Mingo","CAR","WR","$0","WR101",
