"Player","Team","Position","ETR Pos Rank","ETR Rank","NFFC ADP","NFFC POS ADP","ADP Differential",
"Riley Patterson","DET","K","K9","221","237.0","K14","16.0",
"Kenny Pickett","PIT","QB","QB20","222","178.9","QB19","-43.1",
"Jacksonville Jaguars","JAX","DST","DST11","223","203.9","DST9","-19.1",
"Cameron Dicker","LAC","K","K10","224","235.0","K11","11.0",
"Brandon McManus","JAX","K","K11","225","235.2","K13","10.2",
"Jake Moody","SF","K","K12","226","235.1","K12","9.1",
"Jake Elliott","PHI","K","K13","227","231.9","K9","4.9",
"Mike Gesicki","NE","TE","TE30","228","233.2","TE28","5.2",
"D'Onta Foreman","CHI","RB","RB63","229","182.0","RB58","-47.0",
"Cleveland Browns","CLE","DST","DST12","230","233.7","DST16","3.7",
"John Metchie","HOU","WR","WR93","231","214.3","WR81","-16.7",
"Jason Sanders","MIA","K","K14","232","239.3","K18","7.3",
"Chris Boswell","PIT","K","K15","233","239.3","K19","6.3",
"Pittsburgh Steelers","PIT","DST","DST13","234","204.4","DST10","-29.7",
"Greg Zuerlein","NYJ","K","K16","235","239.1","K16","4.1",
"Chad Ryland","NE","K","K17","236","239.2","K17","3.2",
"Kansas City Chiefs","KC","DST","DST14","237","223.8","DST13","-13.2",
"Jimmy Garoppolo","LV","QB","QB21","238","239.0","QB26","1.0",
"Gus Edwards","BAL","RB","RB64","239","197.4","RB66","-41.6",
"Graham Gano","NYG","K","K18","240","234.4","K10","-5.6",
"Denver Broncos","DEN","DST","DST15","241","225.7","DST14","-15.3",
"Miami Dolphins","MIA","DST","DST16","242","218.1","DST12","-23.9",
"Brock Purdy","SF","QB","QB22","243","196.1","QB22","-46.9",
"Matthew Stafford","LAR","QB","QB23","244","226.3","QB24","-17.7",
"Atlanta Falcons","ATL","DST","DST17","245","240.0","DST20","-5.0",
"Detroit Lions","DET","DST","DST18","246","240.8","DST24","-5.2",
"Taysom Hill","NO","TE","TE31","247","300.0","TE34","53.0",
"Jordan Love","GB","QB","QB24","248","184.7","QB21","-63.3",
"Green Bay Packers","GB","DST","DST19","249","236.3","DST17","-12.7",
"New York Giants","NYG","DST","DST20","250","239.3","DST19","-10.7",
"Blake Grupe","NO","K","K19","251","300.0","K20","49.0",
"Carolina Panthers","CAR","DST","DST21","252","240.5","DST23","-11.5",
"Greg Joseph","MIN","K","K20","253","300.0","K20","47.0",
"Cincinnati Bengals","CIN","DST","DST22","254","240.1","DST21","-13.9",
"Sam Howell","WAS","QB","QB25","255","208.9","QB23","-46.1",
"Seattle Seahawks","SEA","DST","DST23","256","231.9","DST15","-24.1",
"Cairo Santos","CHI","K","K21","257","300.0","K20","43.0",
"Sean Tucker","TB","RB","RB65","258","201.0","RB67","-57.0",
"Cade York","CLE","K","K22","259","300.0","K20","41.0",
"Zamir White","LV","RB","RB66","260","180.7","RB57","-79.3",
"Pierre Strong","CLE","RB","RB67","261","231.5","RB72","-29.5",
"Evan Hull","IND","RB","RB68","262","201.5","RB68","-60.6",
"Minnesota Vikings","MIN","DST","DST24","263","240.2","DST22","-22.8",
"Cade Otton","TB","TE","TE32","264","240.3","TE33","-23.7",
"Brandon Aubrey","DAL","K","K23","265","229.1","K8","-35.9",
"Matt Gay","IND","K","K24","266","300.0","K20","34.0",
